id,name,rarity,prompt
1,Charles the Architect,Mythic,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Charles the Architect, a mythic-tier card from the ADA ARCANA universe. Depict founder of the citadel. summon to boost all allied structures hp by 30. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Charles the Architect. Replace the rarity box with Mythic. Write the description Founder of the Citadel. Summon to boost all allied structures HP by 30. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
2,Bison Vanguard,Rare,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Bison Vanguard, a rare-tier card from the ADA ARCANA universe. Depict tower defender that deals double damage to invading units. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Bison Vanguard. Replace the rarity box with Rare. Write the description Tower defender that deals double damage to invading units. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
3,Spirit of ADA,Mythic,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Spirit of ADA, a mythic-tier card from the ADA ARCANA universe. Depict channel blockchain energy to restore mana of all allies. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Spirit of ADA. Replace the rarity box with Mythic. Write the description Channel blockchain energy to restore mana of all allies. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
4,The Citadel Gate,Uncommon,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of The Citadel Gate, a uncommon-tier card from the ADA ARCANA universe. Depict a defensive relic that prevents first turn damage. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with The Citadel Gate. Replace the rarity box with Uncommon. Write the description A defensive relic that prevents first turn damage. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
5,Whale of Fortune,Legendary,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Whale of Fortune, a legendary-tier card from the ADA ARCANA universe. Depict gain 3 random resources at the start of each round. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Whale of Fortune. Replace the rarity box with Legendary. Write the description Gain 3 random resources at the start of each round. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
6,Obra Forgemaster,Epic,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Obra Forgemaster, a epic-tier card from the ADA ARCANA universe. Depict creates one weapon token every 2 turns for your army. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Obra Forgemaster. Replace the rarity box with Epic. Write the description Creates one Weapon Token every 2 turns for your army. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
7,Cardano Priestess,Common,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Cardano Priestess, a common-tier card from the ADA ARCANA universe. Depict healer of the chain. recovers 20 hp of the weakest ally. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Cardano Priestess. Replace the rarity box with Common. Write the description Healer of the chain. Recovers 20 HP of the weakest ally. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
8,Soul of the Bison,Mythic,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Soul of the Bison, a mythic-tier card from the ADA ARCANA universe. Depict summon a bison guardian for one battle. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Soul of the Bison. Replace the rarity box with Mythic. Write the description Summon a Bison Guardian for one battle. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
9,Hydra Node,Legendary,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Hydra Node, a legendary-tier card from the ADA ARCANA universe. Depict increases mana generation rate by 2 for 3 turns. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Hydra Node. Replace the rarity box with Legendary. Write the description Increases mana generation rate by 2 for 3 turns. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
10,Charles Command,Epic,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Charles Command, a epic-tier card from the ADA ARCANA universe. Depict all citadel units gain 2 atk and 1 def. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Charles Command. Replace the rarity box with Epic. Write the description All Citadel units gain 2 ATK and 1 DEF. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
